,NEIGHBORHOOD,Total,Non-Hispanic/Latino,Hispanic/Latino
0,Roslindale,29024,78%,22%
1,Jamaica Plain,42759,74%,26%
2,Mission Hill,13920,82%,18%
3,Longwood,6241,88%,12%
4,Bay Village,1399,94%,6%
5,Leather District,537,94%,6%
6,Chinatown,2718,94%,6%
7,North End,6964,96%,4%
8,Roxbury,50601,72%,28%
9,South End,23667,87%,13%
10,Back Bay,20691,92%,8%
11,East Boston,35498,36%,57%
12,Charlestown,14793,90%,10%
13,West End,5879,90%,10%
14,Beacon Hill,8519,96%,4%
15,Downtown,12488,93%,7%
16,Fenway,30801,88%,12%
17,Brighton,42705,90%,10%
18,West Roxbury,32649,91%,9%
19,Hyde Park,34542,76%,24%
20,Mattapan,24293,84%,16%
21,Dorchester,119898,83%,17%
22,South Boston Waterfront,5143,91%,9%
23,South Boston,35495,89%,11%
24,Allston,25379,85%,15%
25,Harbor Islands,71,80%,20%
