,NEIGHBORHOOD,Median Household Income,Per Capita Income
0,Roslindale,71389,36446
1,Jamaica Plain,67666,39022
2,Mission Hill,35837,28362
3,Longwood,35226,33496
4,Bay Village,81531,72815
5,Leather District,55423,47876
6,Chinatown,68477,60346
7,North End,86551,68660
8,Roxbury,34637,21206
9,South End,72254,59431
10,Back Bay,74719,71588
11,East Boston,0,0
12,Charlestown,84020,57527
13,West End,87297,71703
14,Beacon Hill,89445,83709
15,Downtown,80848,68662
16,Fenway,39268,45053
17,Brighton,51888,31385
18,West Roxbury,82805,43067
19,Hyde Park,61137,29114
20,Mattapan,49212,23465
21,Dorchester,47267,24297
22,South Boston Waterfront,90018,50270
23,South Boston,72256,42451
24,Allston,42250,27800
