,NEIGHBORHOOD,Income below the poverty line,Income at or above the poverty line
0,Roslindale,12%,88%
1,Jamaica Plain,19%,81%
2,Mission Hill,40%,60%
3,Longwood,39%,61%
4,Bay Village,18%,82%
5,Leather District,30%,70%
6,Chinatown,28%,72%
7,North End,13%,87%
8,Roxbury,31%,69%
9,South End,19%,81%
10,Back Bay,16%,84%
11,East Boston,17%,83%
12,Charlestown,14%,86%
13,West End,17%,83%
14,Beacon Hill,11%,89%
15,Downtown,21%,79%
16,Fenway,40%,60%
17,Brighton,24%,76%
18,West Roxbury,7%,93%
19,Hyde Park,9%,91%
20,Mattapan,19%,81%
21,Dorchester,21%,79%
22,South Boston Waterfront,12%,88%
23,South Boston,16%,84%
24,Allston,31%,69%
25,Harbor Islands,79%,21%
