,name,race
0,Wintergold,white
1,Gildea,white
2,O’Neill,white
3,LLC,hispanic
4,Levin,white
5,Wintergold,white
6,Gildea,white
7,Wintergold,white
8,Gildea,white
9,Chan,api
10,Chan,api
11,t“It,api
12,Shepard,white
13,Shepard,white
14,Nathan,white
15,Schwanenfluegel,white
16,Schwanenfluegel,white
17,McGuire,white
18,Barclay,white
19,Couples,white
20,Broadcasting,white
21,Rockwell’s,white
22,Leafs,white
23,Rams,white
24,n,api
25,nFullback,white
26,n,api
27,Robinson,white
28,n,api
29,n,api
30,Leafs,white
31,Newman’s,white
32,n,api
33,Bengals,white
34,Haas,white
35,Newman,white
36,Arguello,hispanic
37,n,api
38,Lombardi,white
39,Bullets’,white
40,Foreman,white
41,Holyfield,white
42,n,api
43,Thomson,white
44,’55,api
45,Peter,white
46,Kevin,white
47,n,api
48,n,api
49,Ali’s,white
50,2017,api
51,tReader,white
52,—,api
53,2017,api
54,Bresson,white
55,Ozu,api
56,Bresson,white
57,Ozu,api
58,Whitehead,white
59,Vance,white
60,Isenberg’s,white
61,Flonory,white
62,Goncalves,white
63,Corner,white
64,Toombs,white
65,Evans,white
66,nA,api
67,Faulk,white
68,Evans,white
69,McCarthy,white
70,Evans,white
71,Evans,white
72,Faulk,white
73,Cannon,white
74,Brown,white
75,n,api
76,Brown,white
77,Brown,white
78,Brown,white
79,Brown,white
80,Brown,white
81,Bryant,white
82,Brown,white
83,Cannon,white
84,Wark,white
85,Wark,white
86,Benson,white
87,’m,api
88,’d,api
89,Jama’s,white
90,Risch,white
91,Risch,white
92,Jama,white
93,Risch,white
94,Jama,white
95,E,api
96,’s,api
97,Twitter,white
98,forgiving’,white
99,—,api
100,Roof,white
101,Roof,white
102,Brown,white
103,Roof,white
104,Brown,white
105,Roof,white
106,Roof,white
107,Roof,white
108,Lamott,white
109,Risch,white
110,Jama,white
111,Steffen,white
112,Trimble,white
113,Milton,white
114,Thoreau,white
115,Smith,white
116,Kelly,white
117,P,api
118,Registration,white
119,Bennett,white
120,Meet,white
121,Underhill,white
122,Connell,white
123,nA,api
124,Woods,white
125,Trump,white
126,Atkinson,white
127,xa0,white
128,Milton,white
129,Curtis,white
130,Noel,white
131,Lennon,white
132,Curtis,white
133,Rozenberg,white
134,Rozenberg,white
135,Randolph,white
136,Branch,white
137,Wintergold,white
138,Gildea,white
139,O’Neill,white
140,LLC,hispanic
141,Levin,white
142,Wintergold,white
143,Gildea,white
144,Wintergold,white
145,Gildea,white
146,Chan,api
147,Chan,api
148,Flonory,white
149,Goncalves,white
150,Corner,white
151,Toombs,white
152,Evans,white
153,nA,api
154,Faulk,white
155,Evans,white
156,McCarthy,white
157,Evans,white
158,Evans,white
159,Faulk,white
160,Cannon,white
161,Brown,white
162,n,api
163,Brown,white
164,Brown,white
165,Brown,white
166,Brown,white
167,Brown,white
168,Bryant,white
169,Brown,white
170,Cannon,white
171,Wark,white
172,Wark,white
173,Benson,white
174,W,api
175,Morales,hispanic
176,W,api
177,Hainsworth,white
178,Morales,hispanic
179,Blackwell,white
180,Klass,white
181,Morales,hispanic
182,Morales,hispanic
183,Morales,hispanic
184,Morales,hispanic
185,Morales,hispanic
186,Morales,hispanic
187,Morales,hispanic
188,Hainesworth,white
189,nMost,white
190,nMost,white
191,nMost,white
192,nPost,white
193,Allston,black
194,—,api
195,Finfer,white
196,Finfer,white
197,Foster,white
198,Geehern,white
199,Eldridge,white
200,Morzé,white
201,Morzé,white
202,Morzé,white
203,Boston,white
204,Ortiz,hispanic
205,Ortiz,hispanic
206,Cutbacks,white
207,Ortiz,hispanic
208,UMass,white
209,Ortiz,hispanic
210,Cournoyer,white
211,Edelstein,white
212,Edelstein,white
213,Edelstein,white
214,Latinae,white
215,Latinae,white
216,Lech,white
217,Trump,white
218,Stallone,white
219,Fabio,hispanic
220,W,api
221,Bush,white
222,Obama,api
223,Mouse,white
224,Greene,white
225,Clinton,white
226,Kane,white
227,Carr,white
228,Carr,white
229,Eric,white
230,Jr,api
231,Scarborough,white
232,Brzezinski,white
233,Joe,white
234,Brinkley,white
235,Chris,white
236,Carr,white
237,Ingraham,white
238,Trump,white
239,Trump,white
240,Giuliani,white
241,Romney,white
242,Tillerson,white
243,Burns,white
244,Kennedy,white
245,Perlmutter,white
246,K,api
247,Slim,white
248,Trump,white
249,Melania,hispanic
250,Barron,hispanic
251,Sinatra,white
252,Fiddler,white
253,Roof,white
254,Hurt,white
255,Koch,white
256,Over,white
257,Bernstein,white
258,Donald,white
259,Brinkley,white
260,W,api
261,Morales,hispanic
262,W,api
263,Hainsworth,white
264,Morales,hispanic
265,Blackwell,white
266,Klass,white
267,Morales,hispanic
268,Morales,hispanic
269,Morales,hispanic
270,Morales,hispanic
271,Morales,hispanic
272,Morales,hispanic
273,Morales,hispanic
274,Hainesworth,white
275,Perry,white
276,Perry,white
277,Perry,white
278,Perry,white
279,Madea,white
280,’m,api
281,’m,api
282,Perry,white
283,—,api
284,Anna,white
285,Anna,white
286,Savre,white
287,Sullivan,white
288,Anna’s,white
289,O’Hurn,white
290,Brody,white
291,Locklear,white
292,Battaglia,white
293,Perry,white
294,Savre,white
295,Anna,white
296,Anna,white
297,Bonnie,white
298,Bonnie,white
299,’m,api
300,’m,api
301,Perry,white
302,Zaslav,white
303,Perry,white
304,Perry,white
305,Wmile,white
306,J,api
307,Giuliani,white
308,—,api
309,Whitehead’s,white
310,Beatty’s,white
311,’s,api
312,—,api
313,era,white
314,Obama,api
315,Smyth,white
316,—,api
317,—,api
318,members’,white
319,Tutu,white
320,Hippocrates,white
321,—,api
322,Dr,white
323,Kligler,white
324,Kligler,white
325,xa0,white
326,Kligler,white
327,Crowley,white
328,Crowley,white
329,Medscape,white
330,Rockett,white
331,Rockett,white
332,Crowley,white
333,Dr,white
334,Ruby,white
335,Ruby,white
336,Ashur,white
337,—,api
338,Gulla,white
339,Rockett,white
340,Obama,api
341,Roosevelt,white
342,Johnson,white
343,Roberts,white
344,Trump,white
345,Trump,white
346,Biden,white
347,Harris,white
348,Masto,white
349,Ryan,white
350,Ryan,white
351,Cheney,white
352,Cheney,white
353,Perry,white
354,Mnuchin,white
355,Mattis,white
356,Scalia,white
357,Obama,api
358,Garland,white
359,Lee,api
360,Alito,hispanic
361,Cruz,hispanic
362,Rehnquist,white
363,Wade,white
364,Cruz,hispanic
365,Lee,api
366,Schumer,white
367,Schumer,white
368,Reid,white
369,McConnell,white
370,Pelosi,white
371,Ryan,white
372,Clapper,white
373,McConnell,white
374,’m,api
375,’d,api
376,Jama’s,white
377,Risch,white
378,Risch,white
379,Jama,white
380,Risch,white
381,Jama,white
382,E,api
383,’s,api
384,Twitter,white
385,forgiving’,white
386,—,api
387,Roof,white
388,Roof,white
389,Brown,white
390,Roof,white
391,Brown,white
392,Roof,white
393,Roof,white
394,Roof,white
395,Lamott,white
396,Risch,white
397,Jama,white
398,Morales,hispanic
399,Morales,hispanic
400,Morales,hispanic
401,Hainsworth,white
402,Martin,white
403,Martin,white
404,Morales,hispanic
405,Morales,hispanic
406,Morales,hispanic
407,Bigsbee,white
408,James,white
409,Morales,hispanic
410,Bigsbee,white
411,James,white
412,Morales,hispanic
413,xa0,white
414,Rubin,white
415,Bigsbee,white
416,Rubin,white
417,Morales,hispanic
418,Bigsbee,white
419,Rubin,white
420,Shapiro,white
421,James,white
422,James,white
423,Morales,hispanic
424,Falls,white
425,A,api
426,Diossa,white
427,Morales,hispanic
428,Saunders,white
429,Wahlberg,white
430,Saunders,white
431,Saunders,white
432,Wahlberg,white
433,Keeler,white
434,Keeler,white
435,Keeler,white
436,Tsarnaev,white
437,Goodman,white
438,Davis,white
439,Evans,white
440,Evans,white
441,Evans,white
442,F,api
443,—,api
444,Richard,white
445,Campbell,white
446,Lu,api
447,Woolfenden,white
448,Leo,white
449,Downes,white
450,Kensky,white
451,Richard,white
452,Lu,api
453,Wahlberg,white
454,Richard,white
455,Wahlberg,white
456,Martin’s,white
457,’,api
458,Wahlberg,white
459,Men,api
460,DesLauriers,white
461,Davis,white
462,Tsarnaev,white
463,Tsarnaev,white
464,Tamerlan,white
465,Lol,white
466,Collier,white
467,Collier,white
468,Collier,white
469,Collier,white
470,Andrew,white
471,—,api
472,Meng,api
473,Meng,api
474,Meng,api
