,last_name,sentence,article_id,race
0,samuels,it wasn’t easy worried what big name retail chain might mean for neighborhood and insisted it take upstairs space on three floors,2017_237,white
1,laguerre,when staggered into emergency room at deaconness medical in april public safety officer was at his post wednesday night,2017_1268,white
2,ryan,junior forward tied score on wrister from slot that trickled past arlington goalie and senior captain put his team ahead just 30 seconds later scored on odd man shortly after making it 2 2 with 11 minutes to play in second sophomore cam put arlington back on top and extended lead with his second night in third period teams combined to explode for three goals within minute sophomore hanley arlington and burlington,2017_392,white
3,posnanski,who wrote on tuesday about pact that spectators stripes enter when they attend events together loutish fans also put those nearby in tough spot,2017_70,white
4,wyatt,“if went from ninth to first in one year ”the previous night were leading again when rainout washed finale in off books postponing their seventh straight,2017_1116,white
5,mcdonough,“we’ll win more than we’ll lose ” new manager had insisted but when catcher tried to wager $20 on it with globe’s will outfielder,2017_267,white
6,woodard,she’s definitely in same musical genome ”taylor was born at general in 1948 to harvard medical graduate and gertrude new england conservatory music student,2017_145,white
7,williams,were club with new manager named crewcut drill instructor who had barked his through spring training setting strict curfew holding daily weigh ins and imposing jacket and tie dress code while hammering away at foreign concepts such as bunting stealing and hitting behind,2017_267,white
8,nwhen,,2017_778,black
9,volpe,“yaz is going to it now ” one those governors in stands,2017_910,white
10,gibson,on saturday backup catcher fall river native who had toiled decade in minors helped win its second straight without even entering game rookie pitcher,2017_1116,white
11,ricky,8 year old with his crew cut and ever present glove,2017_889,hispanic
12,chance,sixth minnesota ace was cruising man who had beaten four times this season including rain shortened five inning perfect game,2017_910,white
13,peters,chiefs like devin and made statement last season before their opening game by linking arms during anthem while cornerback raised fist nbc will broadcast sept game at and has it will televise anthem nation will be watching,2017_178,white
14,guarino,moved around jets defender and slid it past east boston’s,2017_392,white
15,conigliaro,”marlene and harriet northeastern students were on hand to gaze in person again at,2017_475,white
16,adele,and both and bon have covered,2017_145,white
17,friedman,so must handle case while directed by marshall’s notes and whispers perhaps because this awkward arrangement and because they recognize that they are both members persecuted minority has members in nazi occupied poland,2017_1228,white
18,glover,actress is 68 actor crispin is 53 nin 1912 boston’s fenway hosted its first professional baseball game while navin tiger opened in detroit,2017_1620,white
19,rod,except one that is youngish man with plummy ivy league accent whom vaguely seems to recognize and who momentarily freaks out even without diabolical and expertly derivative thriller that develops these preliminary scenes drive home message exploitation and entitlement awkwardness felt by in these social occasions and heedless boorishness hosts and other guests should offer shock recognition to and viewers alike this awkward tension is so thick that expertly executed horror conventions creepy masked assailants tiny doorways leading to secrets scary figures passing quickly in background occasional sudden subtle at times provide comic relief though none top comedic brilliance lil howery as chris’s friend and pride tsa n½ nwritten and directed by starring catherine,2017_1087,white
20,boyega,written by starring algee,2017_1160,hispanic
21,kraft,his honor who attended same party attended by after ruling on then bragged to his college paper about his celebrity status back in wrote missive congrats to after their win over falcons quiz how many times did say “no days off at patriots’ victory rally answer below,2017_394,white
22,santiago,“first base ” teammates shouted to dazed with pointing looped sidearm throw to at first completing rare triple play,2017_1116,white
23,debussy,takes phrase from debussy’s “bells through leaves” just three measures and divvies it into individual notes which play independently from 56 speakers lining two walls gallery notes correspond to colors which flash on floor as notes sound,2017_1818,white
24,elton,scored print with pledge $70 000,2017_394,white
25,isaac,,2017_1155,white
26,conigliaro,leaped from his chair they did screaming and shouting except for,2017_1023,white
27,curran,who wrote on tuesday about pact that spectators stripes enter when they attend events together loutish fans also put those nearby in tough spot,2017_70,white
28,yawkeys,was course major philanthropist whose name adorns major civic institutions across city from at general to and girls club in which was named for after yawkey’s death his embrace fund created relationship that has helped save lives for decades,2017_539,white
29,katherine,hero seen taking pains to bring colored computers and in particular into conversation,2017_1500,white
30,ricky,8 year old with his crew cut and ever present glove,2017_1116,hispanic
31,seeger,n“i started playing and and pete songs,2017_145,white
32,taylor,recalls “people like,2017_145,white
33,anthony,found himself alone in front latin net and slammed one home on assist from twin brother n“they’re kind like joined at hip per say even on ice because they know where other is ” jets coach,2017_392,white
34,way,red have that fan is permanently barred from fenway ntogether incidents touched raw nerve in city whose sports history has been famously tinged with racism last month red owner who also owns pledged baseball team’s for renaming declared himself “haunted” by legacy former owner who owned team when it was last in major league baseball to integrate just last week,2017_1677,white
35,berg,ap director there were “unresolved issues” with,2017_1596,white
36,healey,“in addition to choosing their next governor and us senator state’s voters might have to decide whether to require presidential candidates to release their tax returns to appear on presidential ballot here one 21 petitions that attorney general certified wednesday for 2018 ballot initiatives validated wednesday still have to clear number benchmarks but receiving healey’s sign off on their constitutionality,2017_1394,white
37,lange,actress is 68 actor crispin is 53 nin 1912 boston’s fenway hosted its first professional baseball game while navin tiger opened in detroit,2017_1620,white
38,jones,and there farther back in grandstand was eighth grader from lakeville more in love with davy and monkees than dalton and red but delighted simply to be at with her hearted after radio contest on lark,2017_267,white
39,maglie,first sellout in years after taking 2 0 lead bats fell silent and they trailed 5 2 entering ninth crowd was subdued but stayed to end pitching coach stuck his out dugout “hell,2017_1116,white
40,henry,it’s truly great that feels that rest should as well yawkey’s history exclusion,2017_539,white
41,wallace,sippie son,2017_145,white
42,jones,now dalton feigned bunt and shaded in not to be burned again,2017_1023,white
43,c,as teenager would drive to hilltop in trumbull to pick radio signal at night now doing promotions for some new singles clubs sprouting around including lucifer’s in kenmore where sometimes hung out found himself awash in free tickets,2017_475,api
44,marshall,moreover has had experience in criminal trial and shades chicago seven,2017_1228,white
45,martin,nimbly completed double play across new england three voices had surpassed even as soundtrack summer with whdh’s and ned trading off play by play and,2017_1023,white
46,murray,cops are somehow convinced that is pimping out girls who are portrayed by hannah “game thrones” and kaitlyn as adventurous naifs walking on perceived “wild side” that has suddenly swallowed them whole,2017_1160,white
47,deluca,according to,2017_282,white
48,baker,eventually group also met with governor and mayor to discuss their plans,2017_1677,white
49,collier,was indeed described by those who knew him as as movie portrays him,2017_1596,white
50,dorcena,fenway was scene racial protest three fans who described themselves as allies lives matter movement unfurled banner reading “racism is as as baseball” atop after incident began meeting with state senator linda and tanisha president branch for guidance on addressing racist behavior in ballpark,2017_1677,white
51,harper,lot teams and fans want those athletes to leave their consciences at home who in 1985 blew whistle on maintaining friendly relationship with club near their spring training headquarters that refused to serve african americans,2017_178,white
52,melville,loved visiting rooms where and herman suffered over their words in museums in amherst and pittsfield,2017_1024,white
53,w,is finally poised for debate that has been postponed for far too red owner and publisher,2017_539,api
54,williams,one guys in press box would write but had started running out after wins as rookie manager in minors and wound winning two straight titles superstitious as any baseball lifer,2017_475,white
55,gillooly,record mocked pitching staff with reference to scrawny 17 year old supermodel “as thin as twiggy and twice as curveless ” one vegas oddsmaker set,2017_267,white
56,bc,despite bc’s ad job is much coveted position and eagles’ search committee will have shortage capable applicants virginia commonwealth ad ’95 is logical fit and other names being kicked around include ucla associate ad ’01 kennesaw state ad army ad boo and,2017_394,api
57,latimore,by contrast his victims are sympathetic and blurrier earlier scenes have established algee as soon to break out vocal group dramatics we see them warming to follow and vandellas at local theater and his agent and friend fred jacob as shyer two boal’s well researched script has been based on interviews with and others who were present including melvin “star wars awakens” security guard from nearby store who was at algiers but powerless to intervene ndismukes’s kindness and concern tries to soften edges intolerable situation is one few subtle notes in “detroit ” and finds bitter complicated nobility in character us marine just returned from vietnam who lands at hell,2017_1160,white
58,volpe,with at least 200 sons killed in vietnam two days after malden vet protested desecration stars and stripes in paris by setting fire to french tricolor outside back consulate and two months before would erupt in race riot trio sequined baton twirlers performed on infield johnny crooned national anthem and governor tossed out first pitch never unbuttoning his overcoat “play ” like loose limbed marionette,2017_475,white
59,richard,but his parents met with before filming began and asked that they not be included “bill martin’s father didn’t want anyone portraying himself or his wife or his children in movie and we ‘of course we completely understand ’”,2017_282,white
60,curry,” “we have lgbt public safety committee and we meet monthly with lgbt organizations to come and talk about issues they are concerned about ”but official with leading lgbt social service agency reports to police likely represent only fraction actual incidents “not that much is reported to enforcement as opposed to what happens in lgbt community because mistrust enforcement ” cara manager violence recovery program at fenway “but those relations have improved over time ”,2017_398,white
61,krauss,“the revenant” gives mesmerizing performance as slyly vicious too to have experienced evil character simply seems to have been born to it,2017_1160,white
62,“,“stinger” stange pitched three hit shutout,2017_889,api
63,zazinski,at sunday’s game and her husband were seated near someone clearly intoxicated who was screaming abuse and obscenities at opposing players,2017_70,white
64,wahlberg,and as movie shows red traditionally host game at fenway same morning sergeant played by does not represent real person,2017_282,white
65,kenn,according to spokeswoman zineb these team officials attended meeting senior vice president and chief marketing officer pam vice president for community alumni and player relations marcita vice president,2017_825,white
66,santiago,just as was striking out in third innning something was wrong in his elbow this workhorse who had thrown more innings than anyone else over last three years,2017_910,white
67,hoffman,via “the new top regulator marijuana in former corporate executive promised wednesday would not stonewall rollout recreational pot sales despite voting against referendum that legalized drug,2017_1394,white
68,taylor,just few years back told her fans at garden concert that she was named after,2017_145,white
69,goodman,“like every hollywood film set in this one features few characters with questionable accents actor for example who plays former police commissioner,2017_1596,white
70,c,let loose wild pitch bringing one run in bearing down struck out moose but ron followed with fly to right that lost in afternoon sun dropping dangerously close to his before smacking off his glove making it 5 3,2017_267,api
71,lonergan,you’ve just got to capitalize on that ”the senior rattled off pair breakaway goals in second period twice deked and slid puck into,2017_392,white
72,jfk,wanted to be acutely susceptible again to what called “a form truth ”it was not after looking at precisely nothing that knew had recovered art seeking self,2017_1024,white
73,samuels,then it got building launching half dozen major projects and down street and hitting market with mostly expert timing today despite changes,2017_237,white
74,sox,won 1 their fourth in row and fifth since star break in press box known as “earache alley ”,2017_1116,white
75,marshall,woman married to prominent businessman has claimed that her chauffeur sterling evoking brock in “mockingbird” raped and attempted to murder her meanwhile in contrast to marshall’s activism sam in nuanced performance who has been enlisted as marshall’s counsel is shown in court helping insurance company beat claim by old woman in wheelchair,2017_1228,white
76,parsons,octavia janelle mahershala kirsten,2017_1500,white
77,logan,thousands had same idea so many headlights bearing down on airport even before final out in that cars soon swamped available parking was already tangle construction big eastern airlines terminal starting to rise central parking garage not quite complete and bumper to bumper traffic stretched into tunnel when they reached airport,2017_889,white
78,kiley,fenway organist cheekily playing “the night they invented ”across town at playhouse whispers,2017_910,white
79,rohr,at yankee though rookie would take hitter deep into game broadcaster dancing around it “eight hits and them belong to ” people across new england friends who called friends who called friends,2017_475,white
80,campbell,movie accurately depicts some other details about race that including who won men’s when bombs exploded and number people bombing killed three 8 krystle 29 and lingzi,2017_1596,white
81,lewis,“but more often than not that is not how it is seen by folks color in and folks who come from other cities ”,2017_403,white
82,cromwell,has been forbidden by judge to speak during proceedings,2017_1228,white
83,andrews,“first base ” teammates shouted to dazed with pointing looped sidearm throw to at first completing rare triple play,2017_1116,white
84,kennedy,huge fan surprised by introducing him to crowd “jose will be winning pitcher tomorrow ” to cheers before plugging seeking office “and haskell will be winning candidate,2017_910,white
85,hancock,“when she rounded and saw back sign,2017_70,white
86,bruins,in 1958 acquired first person color in national hockey league was out town and did not attend thursday’s event currently have one player,2017_338,white
87,clooney,produced several big name films in mid 2000s including thriller,2017_237,white
88,tartabull,rolled undershirt sleeve beneath lonborg’s baggy flannel jersey and slathered on his own concoction proprietary mix anti inflammatory cream muscle relaxer and makeup remover before affixing electric heating pads to both shoulders out in dugout chatter was flying as leadoff hitter jose stepped to plate speedy but hitting outfielder from cuba known for playing bongos and singing in clubhouse,2017_267,white
89,henry,team had quietly been formulating public position on for at least couple years though timing henry’s announcement was,2017_1552,white
90,logan,instead they would taxi to far airport then ride bus over to meet their families and fans to man they wondered what was going on down at,2017_1116,white
91,blandford,they’ve only got to deal with closures for 10 days starting friday night above commonwealth will be shut down for another whole week shuttle service will replace line between and streets starting wednesday night through aug 14,2017_1631,white
92,scott,crowd at fenway was so excited could feel dugout shake 5 for 6 already this weekend but still beating himself over third inning error was ready to strike across town at playhouse jeanie 22 year old wellesley high teacher with soft spot for was trying to be discreet about transistor radio wire running to one,2017_1023,white
93,williams,in florida previous month with her husband she caught some spring training and decided to return “i like williams’s style play ”,2017_475,white
94,tartabull,just then looked and spotted and and asked them if they needed ride,2017_889,white
95,santiago,huge fan surprised by introducing him to crowd “jose will be winning pitcher tomorrow ” to cheers before plugging seeking office “and haskell will be winning candidate,2017_1023,white
96,baez,n“i started playing and and pete songs,2017_145,white
97,martin,“oh mercy ” ned in broadcast iwo jima veteran with linguistic flair,2017_889,white
98,lonborg,,2017_1116,white
99,martha,and late were raised in carolina and martha’s vineyard,2017_145,api
100,henry,our sports teams our athletes are woven into fabric our society for that reason we cannot remain silent nor still who also owns,2017_338,white
101,walsh,who launched citywide conversation on race last year incident puts dark cloud over city and hopes authorities will quickly determine who is responsible,2017_403,white
102,meng,brothers really did use meng’s atm and his pin number to buy gas,2017_282,api
103,ando,crisp close to ground lines architect tadao ando’s additions graciously frame and reframe what is central to and its collection,2017_1024,api
104,foy,on mound for chicago johnny seemed to be having trouble finding plate walking one and hitting another facing rookie reggie with two outs bounced one in dirt that squirted between catcher’s legs on third raced home but catcher quickly corralled and fired strike to plate where slapped tag on just in time first inning over still score,2017_475,api
105,killebrew,settled down but reggie then hit grounder off first baseman harmon killebrew’s shin giving one more run out in right,2017_1023,white
106,price,so it was that players had almost nothing to say when principal owner called on aug 17 for changing name because franchise’s racial intolerance during yawkey’s reign as owner who is biracial and,2017_178,white
107,albert,play began when won battle in after being pinned against boards by defender senior regained possession and fed streaking in slot for goal that gave 4 1 lead,2017_392,white
108,yawkey,told herald that is “haunted’’ by legacy,2017_539,white
109,walsh,“it’s clearly racist making statements like that,2017_403,white
110,collier,movie also depicts as having romantic interest in mit student,2017_282,white
111,buzhardt,on mound for chicago johnny seemed to be having trouble finding plate walking one and hitting another facing rookie reggie with two outs bounced one in dirt that squirted between catcher’s legs on third raced home but catcher quickly corralled and fired strike to plate where slapped tag on just in time first inning over still score,2017_267,white
112,jones,when went to outfield monday night experienced side fenway that was decidedly not friendly,2017_1502,white
113,deslauriers,nothing has changed”however fbi special agent who led investigation told ap believed portrayal interrogation scene was on point,2017_282,white
114,santiago,huge fan surprised by introducing him to crowd “jose will be winning pitcher tomorrow ” to cheers before plugging seeking office “and haskell will be winning candidate,2017_910,white
115,matlock,“everyone was very nice and respectable ” in mail “if ever get to return with children,2017_70,white
116,usher,eldest genial win karlson began as teenager at original huntington grounds in 1906 and moved with team to new fenway in 1912 carrying clear memories still smoky and babe and rooters fan club,2017_1163,white
117,santiago,but 2 jose rare spot previous year had been demoted to pen by spring,2017_1023,white
118,bates,picked pieces from fort myers and everywhere in between college is looking for athletic director in wake failed five year regime brad who was never good fit for job,2017_394,white
